10 1117 3892
0 0     55.614540 596.613037
1 0     117.055244 531.165527
0 1     383.521210 606.302551
1 1     400.250488 551.265503
2 1     459.366028 497.293060
3 1     457.548676 466.231262
5 1     415.533447 348.166718
0 2     15.476786 840.751953
5 2     19.214991 458.686127
0 3     169.311249 1028.551270
1 3     178.570389 959.566223
2 3     228.336014 897.302002
4 3     150.473511 712.398499
5 3     163.762390 709.473450
0 4     175.137909 565.432129
2 4     204.906845 495.807037
3 4     213.920471 462.638519
0 5     388.763519 996.147278
1 5     398.802795 939.605896
2 5     461.616333 889.253113
3 5     456.898682 864.780212
4 5     398.337524 771.800537
5 5     408.787384 749.384094
0 6     578.216858 601.930542
1 6     594.596558 544.559326
2 6     653.428955 488.780609
3 6     655.357910 464.942566
4 6     615.329956 379.754944
5 6     614.016846 349.688141
0 7     161.978378 762.527893
1 7     174.335190 697.358398
0 8     138.063324 921.965820
1 8     149.511002 848.598389
0 9     443.805237 889.850525
1 9     455.042877 833.888428
2 9     510.128021 782.090942
3 9     508.699860 751.581238
4 9     437.096588 666.293579
0 10     360.851654 952.094666
1 10     371.527924 897.800659
2 10     432.896790 847.375732
3 10     424.700378 818.364868
4 10     361.544312 722.258972
5 10     370.549347 697.878052
6 10     562.613159 681.816650
0 11     284.677948 1100.329956
1 11     295.598145 1049.674561
2 11     357.220520 1002.700928
3 11     347.746460 974.459290
4 11     279.010956 873.788452
5 11     290.628632 855.289368
0 12     373.458527 1118.234619
1 12     379.521851 1069.253540
3 12     430.404724 994.862610
5 12     367.789917 877.214783
0 13     403.004761 553.505005
1 13     423.932220 506.293671
2 13     485.733551 460.973297
3 13     481.951935 443.935699
0 14     198.377472 671.922974
2 14     270.122742 568.764099
0 15     544.596130 869.160339
1 15     558.867126 813.126282
2 15     617.984192 754.779785
3 15     617.324463 723.723511
4 15     571.100769 622.342468
0 16     222.293274 1114.576294
1 16     232.146210 1063.177368
2 16     295.240387 1013.965271
3 16     284.852295 981.976929
0 17     309.443390 1158.562134
1 17     317.806427 1110.006836
2 17     382.246124 1064.237427
3 17     369.006866 1037.298340
4 17     299.029816 945.033752
5 17     311.520691 922.781433
0 18     287.510651 472.027893
1 18     293.205658 413.364075
2 18     340.363037 355.034851
3 18     331.120483 319.908966
0 19     271.678375 516.995361
1 19     286.547546 460.021362
2 19     340.561981 409.941315
0 20     495.414642 566.581482
1 20     503.554840 516.144531
2 20     551.288818 467.547333
0 21     474.258423 652.412292
1 21     489.270020 610.887512
2 21     552.730103 571.312012
3 21     543.332153 560.980042
0 22     529.004333 662.943542
1 22     547.635193 617.783936
2 22     611.032654 571.769226
3 22     609.032898 556.252686
5 22     568.485046 448.785461
0 23     434.102203 677.688782
4 23     453.165619 526.393005
0 24     327.659821 1058.996582
1 24     337.164978 1009.277527
2 24     396.632355 964.359009
3 24     385.856506 937.283264
4 24     317.951019 845.439514
5 24     329.781067 821.524841
0 25     42.267681 911.706665
1 25     55.242840 827.223938
2 25     101.739998 752.945679
3 25     107.374207 690.237488
5 25     48.835209 533.918762
0 26     500.627014 900.962219
1 26     511.593140 845.165344
2 26     568.600098 788.067383
3 26     563.796875 757.186462
4 26     506.047913 657.571411
5 26     514.444214 636.507507
0 27     485.613007 871.053101
1 27     501.136871 813.560425
2 27     558.587463 759.145630
3 27     555.324951 729.666260
4 27     474.521210 654.270874
0 28     254.117004 860.160889
1 28     261.458588 793.759277
0 29     378.097290 497.759827
1 29     396.492279 446.301971
0 30     533.880493 914.008179
1 30     544.641479 856.702087
2 30     602.509460 796.643250
3 30     599.891968 763.959778
4 30     543.901428 661.420837
5 30     550.749939 641.965332
0 31     474.356689 1171.565674
1 31     479.787231 1118.882690
2 31     538.294006 1064.408691
3 31     528.263428 1032.966064
4 31     459.981354 929.497864
5 31     471.272858 913.192871
0 32     225.197952 839.967468
1 32     234.483719 769.474915
2 32     278.751587 703.703064
0 33     133.487579 824.774048
1 33     144.615997 748.648804
0 34     292.812836 1005.587341
1 34     301.631653 956.366028
2 34     363.187378 907.797241
3 34     352.576569 881.987732
4 34     285.838593 788.236816
5 34     297.252533 765.059631
6 34     488.237030 749.898926
0 35     364.699402 1155.529541
1 35     372.190735 1102.714966
0 36     45.853443 894.434082
1 36     57.877010 809.903442
2 36     103.844513 739.505188
3 36     109.477814 675.050415
4 36     42.984879 504.103668
5 36     51.446884 515.553955
6 36     238.460785 431.567780
0 37     436.410065 613.534912
1 37     453.166504 568.491028
2 37     519.220337 527.109924
0 38     303.640869 934.888489
1 38     322.878021 871.934204
2 38     378.245117 826.606506
3 38     373.820618 792.737183
5 38     322.539093 670.916992
0 39     230.414948 563.307617
1 39     244.651276 506.398499
2 39     297.654846 461.663971
3 39     292.801178 431.599091
0 40     537.927490 561.876343
1 40     555.560181 505.869110
2 40     614.282288 445.627136
3 40     609.104126 446.262909
0 41     332.157074 503.588501
1 41     347.674255 451.781738
0 42     451.697479 499.046478
1 42     467.679077 444.873322
0 43     475.745728 488.254059
3 43     567.539612 350.187134
0 44     316.434387 953.163391
6 44     521.348755 679.611145
0 45     285.918243 956.277405
1 45     300.130829 901.641174
0 46     268.882172 1015.607300
1 46     280.110779 964.510925
2 46     342.759613 918.904480
3 46     331.642181 891.489258
5 46     273.689117 774.213623
0 47     108.133827 866.820862
1 47     120.732628 784.404541
0 48     204.544983 726.534546
1 48     218.232544 671.789795
2 48     276.944153 626.181702
3 48     270.081970 598.872437
5 48     217.926666 479.861908
0 49     416.460449 622.131042
1 49     432.210449 577.852112
2 49     496.322571 537.552979
3 49     486.736908 524.106934
4 49     433.654388 461.858307
5 49     442.399689 418.442932
6 49     639.821838 448.130524
0 50     474.105804 613.319214
1 50     492.743347 569.823730
0 51     405.722961 551.991455
3 51     477.478180 445.788483
4 51     425.499207 378.992706
0 52     252.022949 546.549255
1 52     266.902649 492.475403
2 52     323.655151 445.138306
3 52     315.978210 421.292908
0 53     312.619781 513.348328
1 53     329.043976 462.137848
2 53     389.626404 417.349396
3 53     381.409760 397.373291
5 53     336.480560 282.653168
0 54     492.059662 506.193542
1 54     508.321259 450.456421
0 55     247.969849 1046.552734
1 55     257.464508 993.607666
2 55     318.263000 945.270264
3 55     308.394714 913.974182
0 56     93.695236 897.075317
1 56     105.440231 814.101562
2 56     151.420044 740.594360
3 56     156.088013 678.339172
4 56     87.998711 516.068420
5 56     97.502663 524.026489
6 56     282.534332 444.150482
0 57     277.016968 1142.153809
1 57     285.485138 1090.011230
2 57     346.877472 1038.884888
3 57     336.771393 1003.524536
0 58     496.218689 522.793579
1 58     513.935486 469.485260
0 59     506.584229 566.601624
1 59     523.625122 516.266113
2 59     584.689575 467.001038
3 59     580.891541 447.413025
4 59     534.415955 371.282684
5 59     540.250000 333.958771
6 59     744.472961 346.946869
0 60     383.704010 619.501648
1 60     399.306580 573.587036
0 61     398.633636 620.637878
1 61     413.459503 576.434631
2 61     477.400726 537.273987
3 61     467.554932 524.024231
4 61     413.744446 461.460724
5 61     422.835052 417.948547
6 61     619.490601 447.449738
0 62     373.967834 633.066223
2 62     454.580017 545.993530
0 63     186.307083 646.876892
2 63     252.222183 548.463013
3 63     249.049911 520.040894
5 63     196.102173 398.620819
0 64     435.203979 940.594116
1 64     443.484283 877.407898
2 64     509.040680 837.626953
5 64     446.575562 670.924438
0 65     263.909821 1044.456299
1 65     273.996521 993.084412
